Solving Time,Building Time,Total Time
125083.39999476448,42790.60000408208,167873.99999884656
126248.20000200998,33665.599999949336,159913.80000195932
124957.49999652617,35890.29999420745,160847.79999073362
126948.4000004013,42106.79999960121,169055.20000000251
128238.90000436222,33505.50000322983,161744.40000759205
124732.3999996297,39489.499999035615,164221.89999866532
126595.3999973135,42501.600000832696,169096.9999981462
130413.40000199853,35883.60000139801,166297.00000339653
131584.80000129202,34614.500000316184,166199.3000016082
131106.69999878155,44938.99999943096,176045.6999982125
129958.89999729116,35146.09999547247,165104.99999276362
132809.7000005073,35248.69999819202,168058.39999869931
128123.80000104895,45873.20000428008,173997.00000532903
127071.49999914691,34943.99999908637,162015.49999823328
127705.7999977842,38357.299999915995,166063.0999977002
131334.50000168523,43948.999998974614,175283.50000065984
127562.69999954384,33468.39999721851,161031.09999676235
124563.99999791756,36345.39999620756,160909.39999412512
125188.79999697674,42673.09999704594,167861.89999402268
128154.09999893745,35514.200004399754,163668.3000033372
129115.60000065947,37214.00000358699,166329.60000424646
130871.09999469249,35513.10000329977,166384.19999799225
128700.29999612598,45455.799998308066,174156.09999443404
125672.80000075698,34256.79999782005,159929.59999857703
132183.70000686264,34441.60000071861,166625.30000758125
128826.39999588719,43820.200000482146,172646.59999636933
129894.89999745274,36762.800002179574,166657.6999996323
124663.00000232877,34793.80000499077,159456.80000731954
129156.49999922607,45439.699999406,174596.19999863207
125232.09999926621,36303.100001532584,161535.2000007988
125230.69999588188,35105.299997667316,160335.9999935492
124079.29999608314,44328.19999783533,168407.49999391846
124701.2999956496,34558.39999514865,159259.69999079825
123366.20000132825,34591.60000056727,157957.80000189552
125858.50000323262,43316.10000372166,169174.60000695428
127547.19999793451,33775.20000503864,161322.40000297315
125925.30000256374,35672.80000424944,161598.10000681318
122589.89999827463,44572.500002686866,167162.4000009615
132529.80000106618,37046.60000221338,169576.40000327956
127484.70000224188,36176.39999720268,163661.09999944456
128883.40000063181,46550.40000216104,175433.80000279285
136441.59999967087,38155.000002007,174596.60000167787
130434.70000411617,36933.60000033863,167368.3000044548
126750.2999980934,43675.499997334555,170425.79999542795
131934.8999968497,36500.00000197906,168434.89999882877
129045.69999955129,36137.6000000746,165183.2999996259
129617.50000249594,35066.39999977779,164683.90000227373
123632.29999755276,47053.10000281315,170685.40000036592
127104.49999576667,34431.20000156341,161535.69999733008
126951.8999979482,35951.800004113466,162903.70000206167
126801.99999886099,42988.59999835258,169790.59999721358
126796.50000063702,33326.29999931669,160122.7999999537
133354.1999993031,37798.299999849405,171152.4999991525
126084.60000046762,46388.39999824995,172472.99999871757
130857.19999799039,36198.10000236612,167055.3000003565
128557.00000363868,34720.400006335694,163277.40000997437
127469.20000063255,43526.29999630153,170995.4999969341
131851.60000284668,36166.30000033183,168017.9000031785
128815.00000366941,37220.199999865144,166035.20000353456
134746.60000065342,47580.6000031298,182327.20000378322
125455.1999954856,33964.79999355506,159419.99998904066
129214.90000007907,33964.90000159247,163179.80000167154
130160.50000442192,46123.10000084108,176283.600005263
129928.80000092555,33273.30000320217,163202.10000412771
126371.99999880977,35324.89999633981,161696.89999514958
127528.1000052928,43529.29999731714,171057.40000260994
125362.9999991972,34486.199998355005,159849.1999975522
122324.9000031501,35006.599995540455,157331.49999869056
131836.50000428315,43503.200002305675,175339.70000658883
126200.99999912782,34397.7000011364,160598.70000026422
123443.00000404473,34812.1999995783,158255.20000362303
126681.20000307681,33755.60000131372,160436.80000439053
129468.79999799421,46375.699996133335,175844.49999412755
123847.99999563256,34789.09999830648,158637.09999393905
127896.9999984838,34139.09999653697,162036.09999502078
127801.70000041835,44267.09999825107,172068.79999866942
128749.00000315392,36301.20000161696,165050.2000047709
124908.10000599595,34382.599995296914,159290.70000129286
123029.29999714252,42742.40000086138,165771.6999980039
125265.70000045467,35515.80000203103,160781.5000024857
130512.70000141812,35791.59999935655,166304.30000077467
132386.60000206437,46495.39999809349,178882.00000015786
134374.40000416245,34726.99999838369,169101.40000254614
145722.79999993043,39232.39999858197,184955.1999985124
132229.19999680016,50406.100002874155,182635.29999967432
142892.80000230065,40038.400002231356,182931.200004532
130423.70000039227,37166.49999842048,167590.19999881275
133365.19999575103,50763.40000232449,184128.59999807552
131661.8000055314,34068.79999965895,165730.60000519035
131446.30000169855,37343.59999361914,168789.89999531768
170172.00000555022,46217.29999780655,216389.30000335677
141845.50000209128,38125.79999794252,179971.3000000338
148332.1999985492,37931.500002741814,186263.700001291
200860.10000522947,59581.50000515161,260441.60001038108
156419.70000433503,47079.799995117355,203499.49999945238
156209.5999979647,46527.799997420516,202737.3999953852
141975.59999593068,41452.29999994626,183427.89999587694
141892.50000345055,48575.89999301126,190468.3999964618
141764.20000148937,39828.40000389842,181592.6000053878
144084.19999381294,38489.99999900116,182574.1999928141
135360.00000021886,49106.20000009658,184466.20000031544
145171.80000257213,39282.69999596523,184454.49999853736
147277.60000096168,40952.900002594106,188230.5000035558
124900.7000005804,47709.30000086082,172610.00000144122
129971.80000093067,34634.19999752659,164605.99999845726
131614.69999613473,34367.0000002021,165981.69999633683
139886.89999678172,47783.599999092985,187670.4999958747
138090.1000011363,38877.000006323215,176967.10000745952
134227.79999382328,37744.19999535894,171971.99998918222
